t,V
-3600,0.049802891422343384
-3599.0999999999999,2.1245902645755308
-3598.1999999999998,2.1171670539381315
-3597.2999999999997,2.1171670539381315
-3596.3999999999996,2.1208786592568316
-3595.5,2.1171670539381315
-3594.5999999999999,2.1171670539381315
-3593.6999999999998,2.1208786592568316
-3592.7999999999997,2.1208786592568316
-3591.8999999999996,2.1208786592568316
-3591,2.1208786592568316
-3590.0999999999999,2.1171670539381315
-3589.1999999999998,2.1208786592568316
-3588.2999999999997,2.1208786592568316
-3587.3999999999996,2.1208786592568316
-3586.5,2.1208786592568316
-3585.5999999999999,2.1208786592568316
-3584.6999999999998,2.1208786592568316
-3583.7999999999997,2.1208786592568316
-3582.8999999999996,2.1208786592568316
-3582,2.1208786592568316
-3581.0999999999999,2.1208786592568316
-3580.1999999999998,2.1208786592568316
-3579.2999999999997,2.1208786592568316
-3578.3999999999996,2.1208786592568316
-3577.5,2.1208786592568316
-3576.5999999999999,2.1208786592568316
-3575.6999999999998,2.1208786592568316
-3574.7999999999997,2.1208786592568316
-3573.8999999999996,2.1208786592568316
-3573,2.1208786592568316
-3572.0999999999999,2.1208786592568316
-3571.1999999999998,2.1208786592568316
-3570.2999999999997,2.1208786592568316
-3569.3999999999996,2.1208786592568316
-3568.5,2.1208786592568316
-3567.5999999999999,2.1208786592568316
-3566.6999999999998,2.1208786592568316
-3565.7999999999997,2.1245902645755308
-3564.8999999999996,2.124590264575529
-3564,2.1208786592568316
-3563.0999999999999,2.1208786592568316
-3562.1999999999998,2.1208786592568316
-3561.2999999999997,2.1208786592568316
-3560.3999999999996,2.1208786592568334
-3559.5,2.1245902645755308
-3558.5999999999999,2.1208786592568316
-3557.6999999999998,2.1208786592568316
-3556.7999999999997,2.1208786592568316
-3555.8999999999996,2.124590264575529
-3555,2.1208786592568316
-3554.0999999999999,2.1208786592568316
-3553.1999999999998,2.1208786592568316
-3552.2999999999997,2.1245902645755308
-3551.3999999999996,2.1245902645755308
-3550.5,2.1245902645755308
-3549.5999999999999,2.1208786592568316
-3548.6999999999998,2.1208786592568316
-3547.7999999999997,2.1208786592568316
-3546.8999999999996,2.124590264575529
-3546,2.1208786592568316
-3545.0999999999999,2.1208786592568316
-3544.1999999999998,2.1208786592568316
-3543.2999999999997,2.1208786592568316
-3542.3999999999996,2.124590264575529
-3541.5,2.1208786592568316
-3540.5999999999999,2.1208786592568316
-3539.6999999999998,2.1208786592568316
-3538.7999999999997,2.1245902645755308
-3537.8999999999996,2.1245902645755308
-3537,2.1245902645755308
-3536.0999999999999,2.1245902645755308
-3535.1999999999998,2.1245902645755308
-3534.2999999999997,2.1245902645755308
-3533.3999999999996,2.1245902645755308
-3532.5,2.1245902645755308
-3531.5999999999999,2.1245902645755308
-3530.6999999999998,2.1245902645755308
-3529.7999999999997,2.1245902645755308
-3528.8999999999996,2.1245902645755308
-3528,2.1245902645755308
-3527.0999999999999,2.1245902645755308
-3526.1999999999998,2.1245902645755308
-3525.2999999999997,2.1245902645755308
-3524.3999999999996,2.1245902645755308
-3523.5,2.1245902645755308
-3522.5999999999999,2.1245902645755308
-3521.6999999999998,2.1245902645755308
-3520.7999999999997,2.1245902645755308
-3519.8999999999996,2.1245902645755308
-3519,2.1245902645755308
-3518.0999999999999,2.1245902645755308
-3517.1999999999998,2.1245902645755308
-3516.2999999999997,2.1245902645755308
-3515.3999999999996,2.1245902645755308
-3514.5,2.1245902645755308
-3513.5999999999999,2.1245902645755308
-3512.6999999999998,2.1245902645755308
-3511.7999999999997,2.1245902645755308
-3510.8999999999996,2.1245902645755308
-3510,2.1245902645755308
-3509.0999999999999,2.1245902645755308
-3508.1999999999998,2.1245902645755308
-3507.2999999999997,2.1245902645755308
-3506.3999999999996,2.1245902645755308
-3505.5,2.1245902645755308
-3504.5999999999999,2.1208786592568316
-3503.6999999999998,2.1245902645755308
-3502.7999999999997,2.1245902645755308
-3501.8999999999996,2.1245902645755308
-3501,2.1245902645755308
-3500.0999999999999,2.1245902645755308
-3499.1999999999998,2.1245902645755308
-3498.2999999999997,2.1245902645755308
-3497.3999999999996,2.1245902645755308
-3496.5,2.1245902645755308
-3495.5999999999999,2.1245902645755308
-3494.6999999999998,2.1245902645755308
-3493.7999999999997,2.1245902645755308
-3492.8999999999996,2.1245902645755308
-3492,2.1245902645755308
-3491.0999999999999,2.1245902645755308
-3490.1999999999998,2.1245902645755308
-3489.2999999999997,2.1245902645755308
-3488.3999999999996,2.124590264575529
-3487.5,2.1208786592568316
-3486.5999999999999,2.1245902645755308
-3485.6999999999998,2.1208786592568316
-3484.7999999999997,2.1245902645755308
-3483.8999999999996,2.1245902645755308
-3483,2.1245902645755308
-3482.0999999999999,2.1245902645755308
-3481.1999999999998,2.1245902645755308
-3480.2999999999997,2.1245902645755308
-3479.3999999999996,2.1245902645755308
-3478.5,2.1245902645755308
-3477.5999999999999,2.1245902645755308
-3476.6999999999998,2.1245902645755308
-3475.7999999999997,2.1245902645755308
-3474.8999999999996,2.1245902645755308
